autor,publicaciones,total_citaciones,cit_promedio,max_citaciones,h_index,g_index
Jéssica López,18,436,24.22,99,10,18
Evelyn Rodríguez,14,435,31.07,49,14,14
J. Montealegre,13,434,33.38,204,6,13
Carlos LeQuesne,6,434,72.33,213,5,6
Spyros Basilakos,3,433,144.33,184,3,3
Wael Farah,2,432,216.0,408,2,2
Victoria Calafut,5,432,86.4,140,5,5
Nadia Guajardo,13,432,33.23,151,7,13
Tony Mroczkowski,19,431,22.68,140,10,19
Herbert W. Hethcote,2,428,214.0,377,2,2
Pablo Cornejo,39,428,10.97,84,10,19
Virgílio Gavicho Uarrota,23,427,18.57,82,11,20
Jürgen Laudien,20,427,21.35,57,11,20
Pierre-Amaël Auger,18,427,23.72,77,11,18
Rosa G. González‐Ramírez,22,426,19.36,117,10,20
Jacques Mick,9,425,47.22,107,8,9
B. Koribalski,2,424,212.0,408,2,2
F. North-Hickey,2,424,212.0,408,2,2
Mónika Valdenegro,20,424,21.2,97,10,20
Vanessa Vega Córdova,44,422,9.59,55,10,19
Rimsha Babar,10,422,42.2,149,7,10
B. Chornik,16,420,26.25,66,12,16
Ida De Gregori,15,419,27.93,80,10,15
E. V. Denison,6,418,69.67,140,5,6
Laura Donnay,3,418,139.33,259,3,3
Hernán A. González,4,416,104.0,259,3,4
Xiang Liu,2,415,207.5,379,2,2
Rodrigo Torres,15,415,27.67,90,9,15
Rodrigo Del Río,18,414,23.0,86,10,18
Mauricio Vergara,19,413,21.74,61,12,19
Cristian Canales,26,412,15.85,291,7,20
Félix Caicedo,9,412,45.78,177,6,9
Felipe Jiménez,22,412,18.73,67,13,20
Juan Díaz‐Naveas,14,410,29.29,76,11,14
Еlvira A. Dovletyarova,27,409,15.15,53,14,20
Douglas C.‐J. Bock,1,408,408.0,408,1,1
F. R. Cooray,1,408,408.0,408,1,1
T. Bateman,1,408,408.0,408,1,1
T. W. Shimwell,1,408,408.0,408,1,1
M. Kerr,1,408,408.0,408,1,1
Douglas B. Hayman,1,408,408.0,408,1,1
R. P. Norris,1,408,408.0,408,1,1
V. U,1,408,408.0,408,1,1
A. P. Chippendale,1,408,408.0,408,1,1
R. Bolton,1,408,408.0,408,1,1
M.C. Bouwhuis,1,408,408.0,408,1,1
E. Lenc,1,408,408.0,408,1,1
S. Neuhold,1,408,408.0,408,1,1
John D. Bunton,1,408,408.0,408,1,1
Alex Brown,1,408,408.0,408,1,1
Chandra Wilson,1,408,408.0,408,1,1
T. J. Cornwell,1,408,408.0,408,1,1
M. J. Kesteven,1,408,408.0,408,1,1
J. E. Reynolds,1,408,408.0,408,1,1
Daniel N. Roxby,1,408,408.0,408,1,1
N. M. McClure‐Griffiths,1,408,408.0,408,1,1
Richard Dodson,1,408,408.0,408,1,1
M. A. Pilawa,1,408,408.0,408,1,1
