"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Illanes A.; Fajardo A.","Illanes, Andrés (7004170275); Fajardo, Adrián (15720470000)","7004170275; 15720470000","Kinetically controlled synthesis of ampicillin with immobilized penicillin acylase in the presence of organic cosolvents","2001","Journal of Molecular Catalysis - B Enzymatic","11","4-6","","587","595","69","10.1016/S1381-1177(00)00048-5","https://www.scopus.com/pages/publications/0035931395?origin=resultslist","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-0035931395"
"Stein F.P.; Proust P.C.","Stein, Fred P. (7006830487); Proust, Patricio C. (6602656682)","7006830487; 6602656682","Vapor-Liquid Equilibria of the Trifluoromethane-Trifluorochloromethane System","1971","Journal of Chemical and Engineering Data","16","4","","389","393","34","10.1021/je60051a014","https://www.scopus.com/pages/publications/0006444840?origin=resultslist","Article","Final","","Scopus","2-s2.0-0006444840"
"Schrebler R.; Ballesteros L.A.; Gómez H.; Grez P.; Córdova R.; Muñoz E.; Schrebler R.; Sessarego G.; Martín F.; Ramos-Barrado J.R.; Dalchiele E.A.","Schrebler, Ricardo (56213692700); Ballesteros, Luis A. (24721256300); Gómez, Humberto (7006142241); Grez, Paula (6506476548); Córdova, Ricardo (56224655100); Muñoz, Eduardo (13611547600); Schrebler, Rodrigo (56526623100); Sessarego, Gustavo (57194003562); Martín, Francisco (57947034100); Ramos-Barrado, José R. (7004559118); Dalchiele, Enrique A. (6701854336)","56213692700; 24721256300; 7006142241; 6506476548; 56224655100; 13611547600; 56526623100; 57194003562; 57947034100; 7004559118; 6701854336","Kinetics of light-driven oxygen evolution at nanostructured hematite semiconductor electrodes","2017","Journal of Nanoscience and Nanotechnology","17","7","","4511","4519","1","10.1166/jnn.2017.14193","https://www.scopus.com/pages/publications/85018242774?origin=resultslist","Article","Final","","Scopus","2-s2.0-85018242774"
"Vera C.; Guerrero C.; Illanes A.; Conejeros R.","Vera, Carlos (55238284100); Guerrero, Cecilia (36738876300); Illanes, Andrés (7004170275); Conejeros, Raúl (35611393300)","55238284100; 36738876300; 7004170275; 35611393300","A pseudo steady-state model for galacto-oligosaccharides synthesis with β-galactosidase from Aspergillus oryzae","2011","Biotechnology and Bioengineering","108","10","","2270","2279","44","10.1002/bit.23201","https://www.scopus.com/pages/publications/80051796924?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-80051796924"
"Calderón M.N.; Guzmán F.; Acosta O.; Guerrero C.A.","Calderón, Martha N. (36640915100); Guzmán, Fanny (7004463815); Acosta, Orlando (7004260022); Guerrero, Carlos A. (59157775100)","36640915100; 7004463815; 7004260022; 59157775100","Rotavirus VP4 and VP7-derived synthetic peptides as potential substrates of protein disulfide isomerase lead to inhibition of rotavirus infection","2012","International Journal of Peptide Research and Therapeutics","18","4","","373","382","5","10.1007/s10989-012-9314-z","https://www.scopus.com/pages/publications/84871920670?origin=resultslist","Article","Final","","Scopus","2-s2.0-84871920670"
"Millán M.; Salazar M.; Segura D.; Castillo T.; Díaz-Barrera Á.; Peña C.","Millán, Modesto (57189262779); Salazar, Miriam (55227075000); Segura, Daniel (55989812300); Castillo, Tania (55667725300); Díaz-Barrera, Álvaro (20435715600); Peña, Carlos (55989663100)","57189262779; 55227075000; 55989812300; 55667725300; 20435715600; 55989663100","Molecular mass of Poly-3-hydroxybutyrate (P3HB) produced by Azotobacter vinelandii is influenced by the polymer content in the inoculum","2017","Journal of Biotechnology","259","","","50","55","9","10.1016/j.jbiotec.2017.08.016","https://www.scopus.com/pages/publications/85028349936?origin=resultslist","Article","Final","","Scopus","2-s2.0-85028349936"
"Övgün A.; Jusufi K.","Övgün, A. (56060684800); Jusufi, Kimet (56884719300)","56060684800; 56884719300","The effect of the GUP on massive vector and scalar particles tunneling from a warped DGP gravity black hole","2017","European Physical Journal Plus","132","7","298","","","63","10.1140/epjp/i2017-11574-9","https://www.scopus.com/pages/publications/85022079973?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85022079973"
"Concha J.; Weinstein C.; Zúñiga M.E.","Concha, Jacqueline (23987307500); Weinstein, Caroline (55819484100); Zúñiga, María Elvira (51865122100)","23987307500; 55819484100; 51865122100","Production of pectic extracts from sugar beet pulp with antiproliferative activity on a breast cancer cell line","2013","Frontiers of Chemical Science and Engineering","7","4","","482","489","21","10.1007/s11705-013-1342-5","https://www.scopus.com/pages/publications/84890442059?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84890442059"
"García A.; Pérez D.; Castro M.; Urtuvia V.; Castillo T.; Díaz-Barrera A.; Espín G.; Peña C.","García, Andrés (57212956842); Pérez, Diana (57207936382); Castro, Manuel (57207932671); Urtuvia, Viviana (35390155100); Castillo, Tania (55667725300); Díaz-Barrera, Alvaro (20435715600); Espín, Guadalupe (56002684500); Peña, Carlos (55989663100)","57212956842; 57207936382; 57207932671; 35390155100; 55667725300; 20435715600; 56002684500; 55989663100","Production and recovery of poly-3-hydroxybutyrate [P(3HB)] of ultra-high molecular weight using fed-batch cultures of Azotobacter vinelandii OPNA strain","2019","Journal of Chemical Technology and Biotechnology","94","6","","1853","1860","27","10.1002/jctb.5959","https://www.scopus.com/pages/publications/85063284198?origin=resultslist","Article","Final","","Scopus","2-s2.0-85063284198"
"Carvajal P.; Dinamarca M.A.; Baeza P.; Camú E.; Ojeda J.","Carvajal, P. (57191592507); Dinamarca, M. Alejandro (21740894600); Baeza, P. (8225737300); Camú, E. (37101088700); Ojeda, J. (7006607945)","57191592507; 21740894600; 8225737300; 37101088700; 7006607945","Removal of sulfur-containing organic molecules adsorbed on inorganic supports by Rhodococcus Rhodochrous spp.","2017","Biotechnology Letters","39","2","","241","245","11","10.1007/s10529-016-2240-y","https://www.scopus.com/pages/publications/84991824731?origin=resultslist","Article","Final","","Scopus","2-s2.0-84991824731"
