"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Yianatos J.; Contreras F.; Díaz F.; Villanueva A.","Yianatos, J. (7004328398); Contreras, F. (23667185900); Díaz, F. (57205852825); Villanueva, A. (7101612854)","7004328398; 23667185900; 57205852825; 7101612854","Direct measurement of entrainment in large flotation cells","2009","Powder Technology","189","1","","42","47","39","10.1016/j.powtec.2008.05.013","https://www.scopus.com/pages/publications/57749186838?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-57749186838"
"Erath B.D.; Peterson S.D.; Zañartu M.; Plesniak M.W.","Erath, Byron D. (13404663000); Peterson, Sean D. (7202288175); Zañartu, Matias (15838299100); Plesniak, Michael W. (7003715484)","13404663000; 7202288175; 15838299100; 7003715484","A wave reflection analog extension for reduced order vocal fold investigations with asymmetric intraglottal flows","2012","ASME 2012 Summer Bioengineering Conference, SBC 2012","","","","1265","1266","0","10.1115/SBC2012-80480","https://www.scopus.com/pages/publications/84882715476?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84882715476"
"Almonacid S.F.; Torres J.A.","Almonacid, Sergio F. (6602451316); Torres, J. Antonio (55550722000)","6602451316; 55550722000","Uncertainty of microbial shelf-life estimations for refrigerated foods due to the experimental variability of the model parameters","2010","Journal of Food Process Engineering","33","SUPPL. 1","","66","84","12","10.1111/j.1745-4530.2008.00298.x","https://www.scopus.com/pages/publications/76249105860?origin=resultslist","Article","Final","","Scopus","2-s2.0-76249105860"
"Viveros P.; Nikulin C.; Crespo A.; Tapia R.; Stegmaier R.; Johns E.; Kristjanpoller F.","Viveros, Pablo (55234845600); Nikulin, Christopher (55574659500); Crespo, Adolfo (24175681000); Tapia, René (55809803300); Stegmaier, Raúl (55249392600); Johns, Edward (54992874900); Kristjanpoller, Fredy (55227316300)","55234845600; 55574659500; 24175681000; 55809803300; 55249392600; 54992874900; 55227316300","A support system for selecting the most suitable spare parts strategy","2015","Lecture Notes in Mechanical Engineering","19","","","19","29","0","10.1007/978-3-319-09507-3_3","https://www.scopus.com/pages/publications/84950998596?origin=resultslist","Article","Final","","Scopus","2-s2.0-84950998596"
"Nuñez P.; Hansen H.K.; Rodriguez N.; Guzman J.; Gutierrez C.","Nuñez, Patricio (22035372800); Hansen, Henrik K. (7403333704); Rodriguez, Nicolas (24470523300); Guzman, Jaime (24469534300); Gutierrez, Claudia (35190237200)","22035372800; 7403333704; 24470523300; 24469534300; 35190237200","Electrochemical generation of fenton's reagent to treat spent caustic wastewater","2009","Separation Science and Technology","44","10","","2223","2233","22","10.1080/01496390902979545","https://www.scopus.com/pages/publications/70449470330?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-70449470330"
"Garcés L.; Vásquez C.; Contreras E.; Urra J.; Diez M.C.; Guerrero L.; Palma C.","Garcés, L. (57188535184); Vásquez, C. (52063936300); Contreras, E. (7006198790); Urra, J. (15752177200); Diez, M.C. (7102085487); Guerrero, L. (7006028997); Palma, C. (7007004249)","57188535184; 52063936300; 7006198790; 15752177200; 7102085487; 7006028997; 7007004249","An alternative, banana peel-based medium used to investigate the catalytic properties of peroxidase from a fungus, inonotus sp sp2, recently isolated in southern chile","2012","Biotechnology and Bioprocess Engineering","17","5","","972","980","8","10.1007/s12257-012-0295-8","https://www.scopus.com/pages/publications/84871186718?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84871186718"
"De La Fuente Badilla J.C.; Peters C.J.; De Swaan Arons J.","De La Fuente Badilla, J.C. (15738086900); Peters, C.J. (7402558595); De Swaan Arons, J. (7006138680)","15738086900; 7402558595; 7006138680","Volume expansion in relation to the gas-antisolvent process","2000","Journal of Supercritical Fluids","17","1","","13","23","153","10.1016/S0896-8446(99)00045-5","https://www.scopus.com/pages/publications/0034728307?origin=resultslist","Article","Final","","Scopus","2-s2.0-0034728307"
"Valencia P.; Wilson L.; Aguirre C.; Illanes A.","Valencia, Pedro (57201824872); Wilson, Lorena (7403520925); Aguirre, Carolina (7005079092); Illanes, A. (7004170275)","57201824872; 7403520925; 7005079092; 7004170275","Evaluation of the incidence of diffusional restrictions on the enzymatic reactions of hydrolysis of penicillin G and synthesis of cephalexin","2010","Enzyme and Microbial Technology","47","6","","268","276","27","10.1016/j.enzmictec.2010.07.010","https://www.scopus.com/pages/publications/77956467132?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-77956467132"
"Rojo A.; Hansen H.K.; Cubillos M.","Rojo, Adrian (56212827100); Hansen, Henrik K. (7403333704); Cubillos, Marcela (55214784100)","56212827100; 7403333704; 55214784100","Electrokinetic remediation using pulsed sinusoidal electric field","2012","Electrochimica Acta","86","","","124","129","37","10.1016/j.electacta.2012.04.070","https://www.scopus.com/pages/publications/84870678086?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84870678086"
"Borzone L.A.","Borzone, Luis A. (6603412197)","6603412197","A comparison of particle wear in pneumatic transport","2010","Chemical Engineering Communications","197","9","","1215","1224","5","10.1080/00986440903574891","https://www.scopus.com/pages/publications/77950911496?origin=resultslist","Article","Final","","Scopus","2-s2.0-77950911496"
"Apel V.M.; Orellana P.A.; Pacheco M.","Apel, V.M. (6603234559); Orellana, P.A. (56246097800); Pacheco, M. (57217223434)","6603234559; 56246097800; 57217223434","Fano and Dicke effects in a double Rashba-ring system","2008","Nanotechnology","19","35","355202","","","10","10.1088/0957-4484/19/35/355202","https://www.scopus.com/pages/publications/48249144063?origin=resultslist","Article","Final","","Scopus","2-s2.0-48249144063"
"Simpson R.; Carevic E.; Pinto M.; Cortés C.","Simpson, R. (56239119700); Carevic, E. (23089943700); Pinto, M. (7202889875); Cortés, C. (7006195636)","56239119700; 23089943700; 7202889875; 7006195636","Development of frozen sushi: Optimization and shelf life simulation","2008","Journal of Food Processing and Preservation","32","4","","681","696","2","10.1111/j.1745-4549.2008.00208.x","https://www.scopus.com/pages/publications/48849096389?origin=resultslist","Article","Final","","Scopus","2-s2.0-48849096389"
"Holdsworth S.D.; Simpson R.","Holdsworth, S. Donald (7006410659); Simpson, Ricardo (56239119700)","7006410659; 56239119700","Process Instrumentation, Online Control, and Plant Automation","2016","Food Engineering Series","","","","425","454","2","10.1007/978-3-319-24904-9_21","https://www.scopus.com/pages/publications/85060735363?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-85060735363"
"Enrione J.; Díaz-Calderón P.; Weinstein-Oppenheimer C.R.; Sánchez E.; Fuentes M.A.; Brown D.I.; Herrera H.; Acevedo C.A.","Enrione, Javier (15829018400); Díaz-Calderón, Paulo (55180615500); Weinstein-Oppenheimer, Caroline R. (8789487000); Sánchez, Elizabeth (7403362626); Fuentes, Miguel A. (57197879206); Brown, Donald I. (7407730678); Herrera, Hugo (56362377300); Acevedo, Cristian A. (7004963806)","15829018400; 55180615500; 8789487000; 7403362626; 57197879206; 7407730678; 56362377300; 7004963806","Designing a gelatin/chitosan/hyaluronic acid biopolymer using a thermophysical approach for use in tissue engineering","2013","Bioprocess and Biosystems Engineering","36","12","","1947","1956","24","10.1007/s00449-013-0971-x","https://www.scopus.com/pages/publications/84892435644?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84892435644"
